Name,Typologie société,Représentant légal,Adresse siège social,Téléphone,mail,LABEL,Catégorie ,Adresse ,Entreprise connue,Entp recommandée? ,Origine importation
2B HABITAT 31,EURL,,"1 IMP DU SERIN CINI, 31600 LHERM",0635227250,2bhabitat31@gmail.com,,"Plaquiste,Entrep. Voirie",,,,Base donnée AR
3C,SASU,,"8 rue rolonde trempe, 31400 toulouse, France",0626647744,jamelhafdhali@yahoo.fr,,Charpentier,,,,Base donnée AR
A&H Reno,EI,,"41 Rue de la Découverte 31670 Labège, 31670 Labège, France",0768760843,a.h.reno2003@gmail.com,,Carreleur,,,,Base donnée AR
AASO H24,SAS,,"176 Chemin de Lestang, 31100 Toulouse, France",0651147872,adelinecampan@gmail.com,,"Plombier,Électricité,Serrurier,Vitrier,Poseur/réparateur de volet roulant",,,,Base donnée AR
AB31 CONSTRUCTION,SASU,,"6 ALLEE DU VAL D'ARAN, 31770 COLOMIERS, France",0760494669,contact.asfsolaire@gmail.com,,Autres,,,,Base donnée AR
ACP ELECTRIC,SASU,,"30 Square Delpech, 31600 Muret, France",0767678882,acp.electric31@gmail.com,,Électricité,,,,Base donnée AR
AFRANCE2,EI,,"7 rue des chamois bat H no 360, 31200 Toulouse, France",0647798653,AFRANCE2BAT@hotmail.com,,Entreprise de construction,,,,Base donnée AR
AG ELECTRICITE,Non spécifié,,"11 Avenue des MAROTS, 31770 COLOMIERS, France",0619997681,contactagelec31@gmail.com,,Électricité,,,,Base donnée AR
AG Peinture,EI,,"8 chemin du canalet, 31140 Aucamville, France",0783809757,agpeinture31@gmail.com,,Peintre,,,,Base donnée AR
Alialec,EI,,"24 rue aimé Césaire, 31270 Cugnaux, France",0671569656,krmalla31@gmail.com,,Électricité,,,,Base donnée AR
ALLIANCE ISOLATION,SAS,,"2A DU TERLON 2 RUE DE L'EUROPE, 31850 Montrabe, France",0649351462,cedric.respau@alliance-isol.fr,,Autres,38502492200044,,,Base donnée AR
ALPHA RENOV FRANCE,SAS,,"10 RUE ISAAC NEWTON, 31830 PLAISANCE DU TOUCH, France",0637182596,mannoubihabib@gmail.com,,"Électricité,Couvreur",,,,Base donnée AR
Amm,Auto-entrepreneur,,"12 chemin des palanque nord, 31120 Portet sur Garonne, France",0644047817,mohamed.amm@bbox.fr,,Charpentier,,,,Base donnée AR
Amnari,Non spécifié,,"20 chemin d’Encourse, 31140 Launaguet, France",0601211175,aquaclim31@gmail.com,,Plombier,,,,Base donnée AR
AMRI WALID,Non spécifié,,"2 esplanade jaques chirac, 31270 Cugnaux, France",0763943283,art.finition31@gmail.com,,Peintre,,,,Base donnée AR
And'renov,Non spécifié,,"730 route de Seilli, 31840 Aussonne, France",0752142537,andretert09200@gmail.com,,Entreprise de construction,,,,Base donnée AR
antico,Non spécifié,,"65 Rue Alain Savary, 31270 Cugnaux",=+33663638319,elbouzakri31m@gmail.com,,Poseur de cuisine,,,,Base donnée AR
ants services,Non spécifié,,"10 Rue de Fenouillet, 31200 Toulouse, France",=+33611051701,(pas d'email visible),,"Étancheur,Étancheur bitume,Entreprise d'isolation",,,,Base donnée AR
AOURES CONNECT,SAS,,"16 rue de la solidarité, appt 120, 31830 Plaisance du Touch, France",0650952062,faouraghd9@gmail.com,,Électricité,,,,Base donnée AR
ARC 31,SASU,,"305 chemin de Carbounel, 31840 AUSSONNE, France",0760445239,contact@arc31.fr,,"Plombier,Électricité,Peintre,Carreleur,Parquetiste,Plaquiste,Entrepreneur TCE,Poseur de cuisine,Poseur de dressing,Spécialiste salle de bains",91121195100023,,,Base donnée AR
ArnaudElec31,Auto-entrepreneur,,"32 rue Paul Valery, 31200 Toulouse, France",0660012232,elecarnaud@gmail.com,,Électricité,,,,Base donnée AR
ART SA,Auto-entrepreneur,,"86 Chemin de Croix Bénite 31200 Toulouse, 31200 Toulouse, France",0773760409,saidlabdelkeder1972@gmail.com,,"Dalleur,Carreleur,Démolisseur,Entreprise de construction,Terrassier,Plaquiste,Chapiste,Poseur de clotures,Maçon VRD,Maçon",,,,Base donnée AR
ART SUD PEINTURE,EI,,"150 rue Nicolas Louis Vauquelin, 31100 Toulouse, France",0760103762,malki.hamma@gmail.com,,Peintre,,,,Base donnée AR
Artisan deco,EI,,"170 rue de Périole, 31500 Toulouse, France",0769343338,artisansdco@yahoo.com,,Peintre,,,,Base donnée AR
AS CONSTRUCTION,EI,,"10 Rue de la République, 31140 Pechbonnieu, France",0766621095,asconstruction@hotmail.com,,Entrepreneur BTP,,,,Base donnée AR
AS Ecom,Auto-entrepreneur,,"16 rue du dire avril, 31500 Toulouse, France",0769950678,slsexy.azcuz@gmail.com,,Carreleur,,,,Base donnée AR
